play_name;play_scene;scene_number;play_character_list;play_non_speaking_characters;play_character_count;act_num;scene_num
Henry VI Part 1;1H6 III.iv;15;Basset, Exeter, Gloucester, King, Richard, Somerset, Suffolk, Talbot, Vernon, Warwick, Winchester,;yes;11;3;4
Henry VI Part 1;1H6 IV.i;16;Basset, Exeter, Falstaff [soldier], Gloucester, Governor, King, Richard, Somerset, Suffolk, Talbot, Vernon, Warwick, Winchester;yes;13;4;1
Henry VI Part 1;1H6 IV.ii;17;General, Talbot;yes;2;4;2
Henry VI Part 1;1H6 IV.iii;18;Lucy, Messenger, Richard;yes;3;4;3
Henry VI Part 1;1H6 IV.iv;19;Captain, Lucy, Somerset;yes;3;4;4
Henry VI Part 1;1H6 IV.v;20;John, Talbot;no;2;4;5
Henry VI Part 1;1H6 IV.vi;21;John, Talbot;yes;2;4;6
Henry VI Part 1;1H6 IV.vii;22;Alencon, Bastard, Burgundy, Charles, Lucy, Pucelle, Servant, Talbot;yes;8;4;7
Henry VI Part 1;1H6 V.i;23;Exeter, Gloucester, King, Legate, Winchester;yes;5;5;1
Henry VI Part 1;1H6 V.ii;24;Alencon, Bastard, Burgundy, Charles, Pucelle, Scout;no;6;5;2
Henry VI Part 1;1H6 V.iii;25;Burgundy, Fiends, Margaret, Pucelle, Reignier, Richard, Suffolk;yes;7;5;3
Henry VI Part 1;1H6 V.iv;26;Alencon, Bastard, Pucelle, Reignier, Richard, Shepherd, Warwick, Winchester;yes;8;5;4
Henry VI Part 1;1H6 V.v;27;Exeter, Gloucester, King, Legate, Suffolk;no;5;5;5
Henry VI Part 2;2H6 I.i;1;Buckingham, Cardinal, Gloucester, King, Queen, Salisbury, Somerset, Suffolk, Warwick, York;no;10;1;1
Henry VI Part 2;2H6 I.ii;2;Duchess, Gloucester, Hume, Messenger;no;4;1;2
Henry VI Part 2;2H6 I.iii;3;Buckingham, Cardinal, Duchess, Gloucester, Horner, King, Peter, First Petitioner, Second Petitioner, Queen, Salisbury, Servant, Somerset, Suffolk, Warwick, York;yes;16;1;3
Henry VI Part 2;2H6 I.iv;4;Bolingbroke, Buckingham, Duchess, Hume, Jourdain, Servingman, Southwell, Spirit, Stafford, York;no;10;1;4
Henry VI Part 2;2H6 II.i;5;Beadle, Buckingham, Cardinal, Gloucester, King, Man, Mayor, Queen, Simpcox, Suffolk, Wife;yes;11;2;1
Henry VI Part 2;2H6 II.ii;6;Salisbury, Warwick, York;no;3;2;2
Henry VI Part 2;2H6 II.iii;7;Bolingbroke, Duchess, Gloucester, Horner, Hume, Jourdain, King, First Neighbour, Second Neighbour, Third Neighbour, Peter, First Prentice, Second Prentice, Queen, Salisbury, Southwell, Suffolk, York;yes;18;2;3
Henry VI Part 2;2H6 II.iv;8;Duchess, Gloucester, Herald, Servant, Sheriff, Stanley;yes;6;2;4
Henry VI Part 2;2H6 III.i;9;Buckingham, Cardinal, Gloucester, King, Post, Queen, Salisbury, Somerset, Suffolk, Warwick, York;no;11;3;1
Henry VI Part 2;2H6 III.ii;10;Cardinal, Commons, Gloucester, King, Queen, First Murderer, Second Murderer, Salisbury, Somerset, Suffolk, Vaux, Warwick;yes;12;3;2
Henry VI Part 2;2H6 III.iii;11;Cardinal, King, Salisbury, Warwick;no;4;3;3
Henry VI Part 2;2H6 IV.i;12;First Gentleman, Second Gentleman, Lieutenant, Master, Mate, Suffolk, Whitmore;yes;7;4;1
Henry VI Part 2;2H6 IV.ii;13;Bevis, Brother, Cade, Clerk, Dick, Holland, Michael, Smith, Stafford;yes;9;4;2
Henry VI Part 2;2H6 IV.iii;14;Cade, Dick;yes;2;4;3
Henry VI Part 2;2H6 IV.iv;15;Buckingham, King, First Messenger, Second Messenger, Queen, Say;yes;6;4;4
Henry VI Part 2;2H6 IV.v;16;First Citizen, Scales;no;2;4;5
Henry VI Part 2;2H6 IV.vi;17;Cade, Dick, Smith, Soldier;yes;4;4;6
Henry VI Part 2;2H6 IV.vii;18;Bevis, Cade, Dick, Holland, Say, Smith, Messenger;yes;7;4;7
Henry VI Part 2;2H6 IV.viii;19;Buckingham, Cade, Clifford;yes;3;4;8
Henry VI Part 2;2H6 IV.ix;20;Buckingham, Clifford, King, Messenger, Queen, Somerset;yes;6;4;9
Henry VI Part 2;2H6 IV.x;21;Cade, Iden;no;2;4;10
Henry VI Part 2;2H6 V.i;22;Attendant, Second Attendant, Buckingham, Clifford, Young Clifford, Edward, Iden, King, Queen, Richard, Salisbury, Somerset, Clifford, Young Clifford, King, Queen, Richard, Somerset, Warwick, York;yes;14;5;1
Henry VI Part 2;2H6 V.ii;23;Clifford, Young Clifford, King, Queen, Richard, Somerset, Warwick, York;yes;8;5;2
Henry VI Part 2;2H6 V.iii;24;Richard, Salisbury, Warwick, York;yes;3;5;3
Henry VI Part 3;3H6 I.i;1;Clifford, Edward, Exeter, King, Richard, Montague, Norfolk, Northumberland, Prince, Queen, Warwick, Westmorland, York;yes;13;1;1
Henry VI Part 3;3H6 I.ii;2;Edward, Sir Hugh, Sir John, Richard, Messenger, Montague, York;no;7;1;2
Henry VI Part 3;3H6 I.iii;3;Clifford, Rutland, Tutor;yes;3;1;3
Henry VI Part 3;3H6 I.iv;4;Clifford, Northumberland, Prince, Queen, York;yes;5;1;4
Henry VI Part 3;3H6 II.i;5;Edward, Messenger, Montague, Richard, Warwick;yes;5;2;1
Henry VI Part 3;3H6 II.ii;6;Clifford, Edward, George, King, Messenger, Montague, Norfolk, Northumberland, Prince, Queen, Richard, Warwick;yes;12;2;2
Henry VI Part 3;3H6 II.iii;7;Edward, George, Richard, Warwick;no;4;2;3
Henry VI Part 3;3H6 II.iv;8;Clifford, Richard, Warwick;yes;3;2;4
Henry VI Part 3;3H6 II.v;9;Exeter, Father, King, Prince, Queen, Son;no;6;2;5
Henry VI Part 3;3H6 II.vi;10;Clifford, Edward, George, Montague, Richard, Warwick;yes;6;2;6
Henry VI Part 3;3H6 III.i;11;First Keeper, Second Keeper, King;no;3;3;1
Henry VI Part 3;3H6 III.ii;12;Edward, George, Lady Grey, Nobleman, Richard,;no;5;3;2
Henry VI Part 3;3H6 III.iii;13;Bona, Bourbon, Lewis, Oxford, Post, Prince, Queen, Warwick;no;8;3;3
Henry VI Part 3;3H6 IV.i;14;Edward, George, Lady Grey, Hastinigs, Montague, Pembroke, Post, Richard, Somerset, Stafford;yes;10;4;1
Henry VI Part 3;3H6 IV.ii;15;George, Oxford, Somerset, Warwick;yes;4;4;2
Henry VI Part 3;3H6 IV.iii;16;Edward, George, Hastinigs, Oxford, Richard, Somerset, Warwick, First Watchman, Second Watchman, Third Watchman,;yes;10;4;3
Henry VI Part 3;3H6 IV.iv;17;Lady Grey, Rivers;no;2;4;4
Henry VI Part 3;3H6 IV.v;18;Edward, Hastings, Huntsman, Richard, Stanley;no;5;4;5
Henry VI Part 3;3H6 IV.vi;19;George, King, Lieutenant, Montague, Oxford, Post, Richmond, Somerset, Warwick;no;9;4;6
Henry VI Part 3;3H6 IV.vii;20;Edward, Hastings, Mayor, Montgomery, Richard, Soldier;yes;6;4;7
Henry VI Part 3;3H6 IV.viii;21;Edward, Exeter, George, King, Montague, Oxford, Richard, Warwick;yes;8;4;8
Henry VI Part 3;3H6 V.i;22;Edward, George, Mayor, First Messenger, Second Messenger, Montague, Oxford, Richard, Somerset, Somerville, Warwick;yes;11;5;1
Henry VI Part 3;3H6 V.ii;23;Edward, Oxford, Somerset, Warwick;no;4;5;2
Henry VI Part 3;3H6 V.iii;24;Edward, George, Richard;yes;3;5;3
Henry VI Part 3;3H6 V.iv;25;Edward, George, Messenger, Oxford, Prince, Queen, Richard, Somerset;yes;8;5;4
Henry VI Part 3;3H6 V.v;26;Edward, George, Oxford, Prince, Queen, Richard, Somerset;yes;7;5;5
Henry VI Part 3;3H6 V.vi;27;King, Lieutenant, Richard;no;3;5;6
Henry VI Part 3;3H6 V.vii;28;Edward, George, Hastings, Lady Grey, Nurse, Richard;yes;6;5;7
Henry VIII;H8 I.i;1;Abergavenny, Brandon, Buckingham, Norfolk, Secretary, Sergeant, Wolsey;yes;7;1;1
Henry VIII;H8 I.ii;2;Cardinal, King Henry, Lovell, Norfolk, Queen Katherine, Secretary, Suffolk, Surveyor, Wolsey;yes;9;1;2
Henry VIII;H8 I.iii;3;Lord Chamberlain, Lovell, Sands;no;3;1;3
Henry VIII;H8 I.iv;4;Anne, Guilford, King Henry, Lord Chamberlain, Lovell, Sands, Servant, Wolsey;yes;8;1;4
Henry VIII;H8 II.i;5;Buckingham, First Gentleman, Second Gentleman, Lovell, Vaux;yes;5;2;1
Henry VIII;H8 II.ii;6;Campeius, Gardiner, King Henry, Lord Chamberlain, Norfolk, Suffolk, Wolsey;no;7;2;2
Henry VIII;H8 II.iii;7;Anne, Old Lady;no;2;2;3
Henry VIII;H8 II.iv;8;Campeius, Crier, Griffith, King Henry, Queen Katherine, Lincoln, Scribe, Wolsey;yes;8;2;4
Henry VIII;H8 III.i;9;Campeius, Gentleman, Gentlewoman, Queen Katherine, Wolsey;no;5;3;1
Henry VIII;H8 III.ii;10;Cromwell, King Henry, Lord Chamberlain, Lovell, Norfolk, Suffolk, Surrey, Wolsey;no;8;3;2
Henry VIII;H8 IV.i;11;First Gentleman, Second Gentleman, Third Gentleman,;yes;3;4;1
Henry VIII;H8 IV.ii;12;Capuchius, Griffith, Queen Katherine, Messenger, Patience;yes;5;4;2
Henry VIII;H8 V.i;13;Cranmer, Denny, Gardiner, Gentleman, King Henry, Lovell, Old Lady, Page, Suffolk;no;9;5;1
Henry VIII;H8 V.ii;14;Butts, Cranmer, Keeper, King Henry;no;4;5;2
Henry VIII;H8 V.iii;15;Cranmer, Cromwell, Gardiner, Guard, Keeper, King Henry, Lord Chancellor, Norfolk, Suffolk, Surrey;yes;10;5;3
Henry VIII;H8 V.iv;16;Lord Chamberlain, Man, Porter, Servant;no;4;5;4
Henry VIII;H8 V.v;17;Cranmer, Garter, King Henry;yes;3;5;5
Julius Caesar;JC I.i;1;Carpenter, Cobbler, Flavius, Marullus;yes;4;1;1
Julius Caesar;JC I.ii;2;Antony, Brutus, Caesar, Calphurnia, Casca, Cassius, Cicero, Decius, Flavius, Marullus, Portia, Soothsayer;yes;12;1;2
Julius Caesar;JC I.iii;3;Casca, Cassius, Cicero, Cinna;no;4;1;3
Julius Caesar;JC II.i;4;Brutus, Lucius, Casca, Cassius, Cinna, Decius, Ligarius, Metellus Cimber, Portia, Trebonius;no;10;2;1
Julius Caesar;JC II.ii;5;Antony, Brutus, Caesar, Calphurnia, Casca, Cinna, Decius, Ligarius, Metellus Cimber, Publius, Servant, Trebonius;no;12;2;2
Julius Caesar;JC II.iii;6;Artemidorus;no;1;2;3
Julius Caesar;JC II.iv;7;Lucius, Portia, Soothsayer;no;3;2;4
Julius Caesar;JC III.i;8;Antony, Artemidorus, Brutus, Caesar, Casca, Cassius, Cinna, Decius, Lepidus, Metellus Cimber, Popilius, Publius, Servant, Soothsayer, Trebonius;yes;15;3;1
Julius Caesar;JC III.ii;9;Antony, Brutus, Cassius, First Plebeian, Second Plebeian, Third Plebeian, Fourth Plebeian, Servant;yes;9;3;2
Julius Caesar;JC III.iii;10;Cinna [poet], First Plebeian, Second Plebeian, Third Plebeian, Fourth Plebeian,;yes;5;3;3
Julius Caesar;JC IV.i;11;Antony, Lepidus, Octavius;no;3;4;1
Julius Caesar;JC IV.ii;12;Brutus, Cassius, Lucilius, Lucius, Pindarus, First Soldier, Second Soldier, Third Soldier, Titinius;yes;9;4;2
Julius Caesar;JC IV.iii;13;Brutus, Cassius, Claudius, Ghost, Lucilius, Lucius, Messala, Poet, Titinius, Varro;no;10;4;3
Julius Caesar;JC V.i;14;Antony, Brutus, Cassius, Lucilius, Messala, Messenger, Octavius, Titinius;yes;8;5;1
Julius Caesar;JC V.ii;15;Brutus, Messala;no;2;5;2
Julius Caesar;JC V.iii;16;Brutus, Cassius, Cato, Flavius, Labeo, Lucilius, Messala, Pindarus, Strato, Titinius, Volumnius;no;11;5;3
Julius Caesar;JC V.iv;17;Antony, Brutus, Cato, Flavius, Lucilius, Messala, First Soldier, Second Soldier;yes;8;5;4
Julius Caesar;JC V.v;18;Antony, Brutus, Clitus, Dardanius, Lucilius, Messala, Octavius, Strato, Volumnius;yes;9;5;5
King John;KJ I.i;1;Bastard, Chatelon, Essex, Gurney, King John, Faulconbridge, Pembroke, Queen Eleanor, Robert Faulconbridge, Salisbury, Sheriff;no;11;1;1
King John;KJ II.i;2;Arthur, Austria, Bastard, Blanche, Chatillon, Constance, English Herald, French Herald, Hubert, King John, King Philip, Lewis the Dauphin, Queen Eleanor;yes;13;2;1
King John;KJ III.i;3;Arthur, Austria, Bastard, Blanche, Cardinal Pandulph, Constance, King John, King Philip, Queen Eleanor, Lewis the Dauphin, Salisbury;yes;11;3;1
King John;KJ III.ii;4;Arthur, Bastard, Hubert, King John;no;4;3;2
King John;KJ III.iii;5;Arthur, Bastard, Hubert, King John, Queen Eleanor;yes;5;3;3
King John;KJ III.iv;6;Cardinal Pandulph, Constance, King Philip, Lewis the Dauphin;yes;5;3;4
King John;KJ IV.i;7;Arthur, Executioner, Hubert;no;3;4;1
King John;KJ IV.iII;8;Arthur, Bastard, Bigot, Hubert, Pembroke, Salisbury;no;6;4;1
King John;KJ IV.iI;9;Bastard, Hubert, King John, Messenger, Pembroke, Peter, Salisbury;yes;7;4;1
King John;KJ V.i;10;Bastard, Cardinal Pandulph, King John;yes;3;5;1
King John;KJ V.iII;11;Hubert, King John, Messenger;no;3;5;1
King John;KJ V.iI;12;Bastard, Bigot, Cardinal Pandulph, Lewis the Dauphin, Melun, Pembroke, Salisbury;yes;7;5;1
King John;KJ V.iv;13;Bigot, Melun, Pembroke, Salisbury;no;4;5;4
King John;KJ V.v;14;Lewis the Dauphin, Messenger;yes;2;5;5
King John;KJ V.vi;15;Bastard, Hubert;no;2;5;6
King John;KJ V.vii;16;Bastard, Bigot, King John, Prince Henry, Pembroke, Salisbury;yes;6;5;7
King Lear;KL I.i;1;Albany, Burgundy, Cordelia, Cornwall, Edmund, France, Gloucester, Gonerill, Kent, Lear, Regan;yes;11;1;1
King Lear;KL I.ii;2;Edgar, Edmund, Gloucester;no;3;1;2
King Lear;KL I.iii;3;Gonerill, Oswald;no;2;1;3
King Lear;KL I.iv;4;Albany, Fool, Gonerill, Kent, First Knight, Second Knight, Third Knight, Lear, Oswald;no;9;1;4
King Lear;KL I.v;5;Fool, Kent, Knight, Lear;no;4;1;5
King Lear;KL II.i;6;Cornwall, Curan, Edgar, Edmund, Gloucester, Regan;yes;6;2;1
King Lear;KL II.ii;7;Cornwall, Edmund, Gloucester, Kent, Oswald, Regan;yes;6;2;2
King Lear;KL II.iii;8;Edgar;no;1;2;3
King Lear;KL II.iv;9;Cornwall, Fool, Gentleman, Gloucester, Gonerill, Kent, Lear, Oswald, Regan;no;9;2;4
King Lear;KL III.i;10;Gentleman, Kent;no;2;3;1
King Lear;KL III.ii;11;Fool, Kent, Lear;no;3;3;2
King Lear;KL III.iii;12;Edmund, Gloucester;no;2;3;3
King Lear;KL III.iv;13;Edgar, Fool, Gloucester, Kent, Lear;no;5;3;4
King Lear;KL III.v;14;Cornwall, Edmund;no;2;3;5
King Lear;KL III.vi;15;Edgar, Fool, Gloucester, Kent, Lear;no;5;3;6
King Lear;KL III.vii;16;Cornwall, Edmund, Gloucester, Gonerill, Oswald, Regan, First Servant, Second Servant, Third Servant;yes;9;3;7
King Lear;KL IV.i;17;Edgar, Gloucester, Old Man;no;3;4;1
King Lear;KL IV.ii;18;Albany, Edmund, Gonerill, Messenger, Oswald;no;5;4;2
King Lear;KL IV.iii;19;Gentleman, Kent;no;2;4;3
King Lear;KL IV.iv;20;Cordelia, Doctor, Messenger;yes;3;4;4
King Lear;KL IV.v;21;Oswald, Regan;no;2;4;5
King Lear;KL IV.vi;22;Edgar, Gentleman, Gloucester, Lear, Oswald;yes;5;4;6
King Lear;KL IV.vii;23;Cordelia, Doctor, Gentleman, Kent;no;4;4;7
King Lear;KL V.i;24;Albany, Edgar, Edmund, Gentleman, Gonerill, Regan;yes;6;5;1
King Lear;KL V.ii;25;Cordelia, Edgar, Gloucester, Lear;yes;4;5;2
King Lear;KL V.iii;26;Albany, Captain, Cordelia, Edgar, Edmund, Gentleman, Gloucester, Gonerill, Herald, Kent, Lear, Messenger, First Officer, Second Officer, Regan;yes;15;5;3
Love's Labour's Lost;LLL I.i;1;Berowne, Costard, Dull, Dumaine, King, Longaville;no;6;1;1
Love's Labour's Lost;LLL I.ii;2;Armado, Costard, Dull, Jaquenetta, Mote;no;5;1;2
Love's Labour's Lost;LLL II.i;3;Berowne, Boyet, Dumaine, First Lord, Katharine, King, Longaville, Maria, Princess, Rosaline;yes;10;2;1
Love's Labour's Lost;LLL III.i;4;Armado, Berowne, Costard, Mote;no;4;3;1
Love's Labour's Lost;LLL IV.i;5;Boyet, Costard, First Lord, Forester, Katharine, Maria, Princess, Rosaline;no;8;4;1
Love's Labour's Lost;LLL IV.ii;6;Dull, Holofernes, Jaquenetta, Nathaniel;no;4;4;2
Love's Labour's Lost;LLL IV.iii;7;Berowne, Costard, Dumaine, Jaquenetta, King, Longaville,;no;6;4;3
Love's Labour's Lost;LLL V.i;8;Armado, Costard, Dull, Holofernes, Mote, Nathaniel;no;6;5;1
Love's Labour's Lost;LLL V.ii;9;Armado, Berowne, Boyet, Costard, Dumaine, Hiems, Holofernes, Katharine, King, Longaville, Marcade, Maria, Mote, Nathaniel, Princess, Rosaline, Ver;no;17;5;2
Macbeth;Mac I.i;1;First Witch, Second Witch, Third Witch;no;3;1;1
Macbeth;Mac I.ii;2;Angus, Captain, Donalbaine, Duncan, Lennox, Malcolm, Ross;yes;7;1;2
Macbeth;Mac I.iii;3;Angus, Banquo, First Witch, Second Witch, Third Witch, Macbeth, Ross;no;7;1;3
Macbeth;Mac I.iv;4;Angus, Banquo, Donalbaine, Duncan, Lennox, Macbeth, Malcolm, Ross;yes;8;1;4
Macbeth;Mac I.v;5;Lady, Macbeth, Messenger;no;3;1;5
Macbeth;Mac I.vi;6;Angus, Banquo, Donalbaine, Duncan,Lady, Lennox, Macduff, Malcolm, Ross;yes;9;1;6
Macbeth;Mac I.vii;7;Lady, Macbeth, Sewer, Servant;yes;4;1;7
Macbeth;Mac II.i;8;Banquo, Fleance, Macbeth, Servant;no;4;2;1
Macbeth;Mac II.ii;9;Lady, Macbeth;no;2;2;2
Macbeth;Mac II.iii;10;Banquo, Donalbaine, Lady, Lennox, Macbeth, Macduff, Malcolm, Porter, Ross;no;9;2;3
Macbeth;Mac II.iv;11;Macduff, Old Man, Ross;no;3;2;4
Macbeth;Mac III.i;12;Banquo, Lady, Lennox, Macbeth, First Murderer, Second Murderer, Ross, Servant;yes;8;3;1
Macbeth;Mac III.ii;13;Lady, Macbeth, Servant;no;3;3;2
Macbeth;Mac III.iii;14;Banquo, Fleance, First Murderer, Second Murderer, Third Murderer,;no;5;3;3
Macbeth;Mac III.iv;15;Ghost, Lady, Lennox, Macbeth, First Murderer, Ross;yes;6;3;4
Macbeth;Mac III.v;16;Hecat, First Witch, Second Witch, Third Witch;no;4;3;5
Macbeth;Mac III.vi;17;Lennox, Lord;no;2;3;6
Macbeth;Mac IV.i;18;First Apparition, Second Apparition, Third Apparition, Lennox, Macbeth, First Witch, Second Witch, Third Witch;yes;8;4;1
Macbeth;Mac IV.ii;19;Messenger, Murderer, Ross, Son, Wife;yes;5;4;2
Macbeth;Mac IV.iii;20;Macduff, Malcolm, Ross;no;3;4;3
Macbeth;Mac V.i;21;Doctor, Gentlewoman, Lady;no;3;5;1
Macbeth;Mac V.ii;22;Angus, Cathness, Lennox, Menteth;yes;4;5;2
Macbeth;Mac V.iii;23;Doctor, Macbeth, Servant, Seyton;yes;4;5;3
Macbeth;Mac V.iv;24;Angus, Cathness, Macduff, Malcolm, Menteth, Seyward, Soldier, Young Seyward;yes;8;5;4
Macbeth;Mac V.v;25;Macbeth, Messenger, Seyton;yes;3;5;5
Macbeth;Mac V.vi;26;Macbeth, Macduff, Malcolm, Ross, Seyward, Young Seyward;yes;6;5;6
Measure for Measure;MM I.i;1;Angelo, Attendant, Duke, Escalus;yes;4;1;1
Measure for Measure;MM I.ii;2;Claudio, First Gentleman, Second Gentleman, Juliet, Lucio, Officer, Mistress Overdone, Pompey, Provost;yes;9;1;2
Measure for Measure;MM I.iii;3;Duke, Friar Thomas;no;2;1;3
Measure for Measure;MM I.iv;4;Francisca, Isabella, Lucio;no;3;1;4
Measure for Measure;MM II.i;5;Angelo, Elbow, Escalus, Froth, Justice, Officer, Pompey, Provost;yes;8;2;1
Measure for Measure;MM II.ii;6;Angelo, Isabella, Lucio, Provost, Servant;no;5;2;2
Measure for Measure;MM II.iii;7;Duke, Juliet, Provost;no;3;2;3
Measure for Measure;MM II.iv;8;Angelo, Isabella, Servant;no;3;2;4
Measure for Measure;MM III.i;9;Claudio, Duke, Isabella, Provost;no;4;3;1
Measure for Measure;MM III.ii;10;Duke, Elbow, Escalus, Lucio, Officer, Mistress Overdone, Pompey, Provost;yes;8;3;2
Measure for Measure;MM IV.i;11;Boy, Duke, Friar, Isabella, Mariana;no;5;4;1
Measure for Measure;MM IV.ii;12;Abhorson, Claudio, Duke, Messenger, Pompey, Provost;no;6;4;2
Measure for Measure;MM IV.iii;13;Abhorson, Barnardine, Duke, Isabella, Lucio, Pompey;no;6;4;3
Measure for Measure;MM IV.iv;14;Angelo, Escalus;no;2;4;4
Measure for Measure;MM IV.v;15;Duke, Friar Peter, Varrius;no;3;4;5
Measure for Measure;MM IV.vi;16;Friar Peter, Isabella, Mariana;no;3;4;6
Measure for Measure;MM V.i;17;Angelo, Barnardine, Claudio, Duke, Escalus, Friar Peter, Isabella, Juliet, Lucio, Mariana, Provost, Varrius;yes;12;5;1
Much Ado About Nothing;MA I.i;1;Balthasar, Beatrice, Benedick, Claudio, Don John, Don Pedro, Hero, Leonato, Messenger;no;9;1;1
Much Ado About Nothing;MA I.ii;2;Antonio, Balthasar, Leonato;yes;3;1;2
Much Ado About Nothing;MA I.iii;3;Borachio, Conrade, Don John;no;3;1;3
Much Ado About Nothing;MA II.i;4;Antonio, Balthasar, Beatrice, Benedick, Borachio, Claudio, Don John, Don Pedro, Hero, Leonato, Margaret, Ursula;yes;12;2;1
Much Ado About Nothing;MA II.ii;5;Borachio, Don John;no;2;2;2
Much Ado About Nothing;MA II.iii;6;Balthasar, Beatrice, Benedick, Boy, Claudio, Don Pedro, Leonato;no;7;2;3
Much Ado About Nothing;MA III.i;7;Beatrice, Hero, Margaret, Ursula;no;4;3;1
Much Ado About Nothing;MA III.ii;8;Benedick, Claudio, Don John, Don Pedro, Leonato;no;5;3;2
Much Ado About Nothing;MA III.iii;9;Borachio, Conrade, Dogberry, Verges, First Watchman, Second Watchman;no;6;3;3
Much Ado About Nothing;MA III.iv;10;Beatrice, Hero, Margaret, Ursula;no;4;3;4
Much Ado About Nothing;MA III.v;11;Dogberry, Leonato, Messenger, Verges;no;4;3;5
Much Ado About Nothing;MA IV.i;12;Beatrice, Benedick, Claudio, Don John, Don Pedro, Friar Francis, Hero, Leonato;yes;8;4;1
Much Ado About Nothing;MA IV.ii;13;Borachio, Conrade, Dogberry, Sexton, Verges, First Watchman, Second Watchman;no;7;4;2
Much Ado About Nothing;MA V.i;14;Antonio, Benedick, Borachio, Claudio, Conrade, Dogberry, Don Pedro, Leonato, Sexton, Verges, First Watchman, Second Watchman;no;12;5;1
Much Ado About Nothing;MA V.ii;15;Beatrice, Benedick, Margaret, Ursula;no;4;5;2
Much Ado About Nothing;MA V.iii;16;Balthasar, Claudio, Lord, Don Pedro;yes;4;5;3
Much Ado About Nothing;MA V.iv;17;Antonio, Beatrice, Benedick, Claudio, Don Pedro, Friar Francis, Hero, Leonato, Margaret, Messenger, Ursula;yes;11;5;4
Othello;Oth I.i;1;Brabantio, Iago, Roderigo;yes;3;1;1
Othello;Oth I.ii;2;Brabantio, Cassio, Iago, First Officer, Othello, Roderigo;yes;6;1;2
Othello;Oth I.iii;3;Brabantio, Desdemona, Duke, Iago, Messenger, Othello, Roderigo, Sailor, First Senator;yes;9;1;3
Othello;Oth II.i;4;Cassio, Desdemona, Emilia, First Gentleman, Second Gentleman, Third Gentleman, Fourth Gentleman, Iago, Montano, Othello, Roderigo;yes;11;2;1
Othello;Oth II.ii;5;Herald;no;1;2;2
Othello;Oth II.iii;6;Cassio, Desdemona, Gentlemen, Iago, Montano, Othello, Roderigo;yes;7;2;3
Othello;Oth III.i;7;Cassio, Clown, Emilia, Iago, First Musician;yes;5;3;1
Othello;Oth III.ii;8;Gentleman, Iago, Othello;yes;3;3;2
Othello;Oth III.iii;9;Cassio, Desdemona, Emilia, Iago, Othello;no;5;3;3
Othello;Oth III.iv;10;Bianca, Cassio, Clown, Desdemona, Emilia, Othello;no;6;3;4
Othello;Oth IV.i;11;Bianca, Cassio, Desdemona, Iago, Lodovico, Othello;yes;6;4;1
Othello;Oth IV.ii;12;Desdemona, Emilia, Iago, Othello, Roderigo;no;5;4;2
Othello;Oth IV.iii;13;Desdemona, Emilia, Lodovico, Othello;yes;4;4;3
Othello;Oth V.i;14;Bianca, Cassio, Emilia, Gratiano, Iago, Lodovico, Othello, Roderigo;no;8;5;1
Othello;Oth V.ii;15;Cassio, Desdemona, Emilia, Gratiano, Iago, Lodovico, Montano, Othello;no;8;5;2
Pericles;Per I.i;1;Antiochus, Messenger, Pericles, Thaliard;yes;4;1;1
Pericles;Per I.ii;2;Helicanus, First Lord, Second Lord, Pericles;yes;4;1;2
Pericles;Per I.iii;3;Escanes, Helicanus, Thaliard;yes;3;1;3
Pericles;Per I.iv;4;Cleon, Dionyza, Lord, Pericles;yes;4;1;4
Pericles;Per II.i;5;First Fisherman, Second Fisherman, Third Fisherman, Pericles;no;4;2;1
Pericles;Per II.ii;6;First Knight, Second Knight, Third Knight, Fourth Knight, Fifth Knight, Sixth Knight, First Lord, Second Lord, Third Lord, Simonides, Thaisa;yes;11;2;2
Pericles;Per II.iii;7;First Knight, Second Knight, Third Knight, Fourth Knight, Fifth Knight, Marshal, Pericles, Simonides, Thaisa;yes;9;2;3
Pericles;Per II.iv;8;Escanes, Helicanus, First Lord, Second Lord, Third Lord;no;5;2;4
Pericles;Per II.v;9;First Knight, Second Knight, Third Knight, Fourth Knight, Fifth Knight, Pericles, Simonides, Thaisa;no;8;2;5
Pericles;Per III.i;10;Lychorida, Pericles, First Sailor, Second Sailor, Thaisa;no;5;3;1
Pericles;Per III.ii;11;Cerimon, First Gentleman, Second Gentleman, Philemon, First Servant, Second Servant, Thaisa;no;7;3;2
Pericles;Per III.iii;12;Cleon, Dionyza, Lychorida, Pericles;no;4;3;3
Pericles;Per III.iv;13;Cerimon, Thaisa;no;2;3;4
Pericles;Per IV.i;14;Dionyza, Leonine, Marina, First Pirate, Second Pirate, Third Pirate;no;6;4;1
Pericles;Per IV.ii;15;Bawd, Boult, First Pirate, Marina, Pandar;yes;5;4;2
Pericles;Per IV.iii;16;Cleon, Dionyza;no;2;4;3
Pericles;Per IV.v;17;First Gentleman, Second Gentleman;no;2;4;5
Pericles;Per IV.vi;18;Bawd, Boult, Lysimachus, Marina, Pandar;no;5;4;6
Pericles;Per V.i;19;Diana, First Gentleman, Helicanus, Lord, Lysimachus, Marina, Pericles, Sailor of Mytilene, Sailor of Tyre;yes;9;5;1
Pericles;Per V.iII;20;Gower;no;1;5;1
Pericles;Per V.iii;21;Cerimon, Helicanus, Marina, Pericles, Thaisa;yes;5;5;1
Richard II;R2 I.i;1;Attendant, Bolingbroke, John of Gaunt, Lord Marshal, Mowbray, King Richard;yes;6;1;1
