play_name;play_scene;scene_number;play_character_list;play_non_speaking_characters;play_character_count
Antony and Cleopatra;AC IV.vi;34;Agrippa, Caesar, Dolabella, Enobarbus, Messenger, Soldier;no;6
Antony and Cleopatra;AC I.i;35;Antony, Charmian, Cleopatra, Demetrius, Iras, Messenger, Philo;yes;7
Antony and Cleopatra;AC IV.xiv;36;Antony, Decretas, Diomedes, Eros, First Guard, Second Guard, Mardian;yes;7
Antony and Cleopatra;AC II.vi;37;Agrippa, Antony, Caesar, Enobarbus, Lepidus, Maecenas, Menas, Pompey,;yes;8
Antony and Cleopatra;AC III.xiii;38;Ambassador, Antony, Charmian, Cleopatra, Enobarbus, Iras, Servant, Thidias;no;8
Antony and Cleopatra;AC V.i;39;Agrippa, Caesar, Decretas, Dolabella, Egyptian, Gallus, Maecenas, Proculeius;yes;8
Antony and Cleopatra;AC I.ii;40;Alexas, Antony, Charmian, Cleopatra, Enobarbus, Iras, Messenger 1, Messenger 2, Soothsayer;yes;9
Antony and Cleopatra;AC V.ii;41;Caesar, Charmian, Cleopatra, Clown, Dolabella, Gallus, First Guard, Second Guard, Guardsman, Iras, Maecenas, Mardian, Proculeius, Seleucus;yes;14
As You Like It;AYL II.iii;1;Adam, Orlando;no;2
As You Like It;AYL II.v;2;Amiens, Jaques;yes;2
As You Like It;AYL II.vi;3;Adam, Orlando;no;2
As You Like It;AYL III.i;4;Duke Frederick, Oliver;yes;2
As You Like It;AYL IV.ii;5;Jaques, Lord;yes;2
As You Like It;AYL I.iii;6;Celia, Duke Frederick, Rosalind;yes;3
As You Like It;AYL II.ii;7;Duke Frederick, First Lord (in court), Second Lord (in court);yes;3
As You Like It;AYL III.iv;8;Celia, Corin, Rosalind;no;3
As You Like It;AYL III.iii;9;Audrey, Jaques, Sir Oliver, Touchstone;no;4
As You Like It;AYL II.i;10;Amiens, Duke Senior, First Lord (in Arden), Second Lord (in Arde);yes;4
As You Like It;AYL IV.i;11;Celia, Jaques, Orlando, Rosalind;no;4
As You Like It;AYL IV.iii;12;Celia, Oliver, Rosalind, Silvius;no;4
As You Like It;AYL V.i;13;Audrey, Corin, Touchstone, William;no;4
As You Like It;AYL V.iii;14;Audrey, First Page, Second Page, Touchstone;no;4
As You Like It;AYL I.i;15;Adam, Charles, Dennis, Oliver, Orlando;no;5
As You Like It;AYL II.iv;16;Celia, Corin, Rosalind, Silvius, Touchstone;no;5
As You Like It;AYL III.v;17;Celia, Corin, Phebe, Rosalind, Silvius;no;5
As You Like It;AYL V.ii;18;Oliver, Orlando, Phebe, Rosalind, Silvius;no;5
As You Like It;AYL I.ii;19;Celia, Duke Frederick, Le Beau, Orlando, Rosalind, Touchstone;no;6
As You Like It;AYL II.vii;20;Adam, Amiens, Duke Senior, First Lord (in Arden), Jaques, Orlando;yes;6
As You Like It;AYL III.ii;21;Celia, Corins, Jaques, Orlando, Rosalind, Touchstone;no;6
As You Like It;AYL V.iv;22;Amiens, Celia, Duke Senior, Hymen, Jaques, Jaques de Boys, Oliver, Orlando, Phebe, Rosalind, Silvius;no;11
Coriolanus;Cor I.vii;1;Lartius, Lieutenant;yes;2
Coriolanus;Cor I.viii;2;Aufidius, Coriolanus/Martius;yes;2
Coriolanus;Cor I.x;3;Aufidius, First Soldier;yes;2
Coriolanus;Cor IV.iii;4;Roman, Volsce;no;2
Coriolanus;Cor IV.iv;5;Citizen, Coriolanus/Martius;no;2
Coriolanus;Cor IV.vii;6;Aufidius, Lieutenant;no;2
Coriolanus;Cor I.ii;7;Aufidius, First Senator, Second Senator;yes;3
Coriolanus;Cor I.vi;8;Cominius, Coriolanus/Martius, Messenger;yes;3
Coriolanus;Cor I.ix;9;Cominius, Coriolanus/Martius, Lartius;yes;3
Coriolanus;Cor I.iii;10;Gentlewoman, Valeria, Virgilia, Volumnia;no;4
Coriolanus;Cor V.i;11;Brutus, Cominius, Menenius, Sicinius;yes;4
Coriolanus;Cor V.iv;12;Menenius, Messenger, Second Messenger, Sicinius;no;4
Coriolanus;Cor V.v;13;First Senator, Valeria, Virgilia, Volumnia;yes;4
Coriolanus;Cor I.v;14;Lartius, Coriolanus/Martius, First Roman, Second Roman, Third Roman;no;5
Coriolanus;Cor IV.i;15;Cominius, Coriolanus/Martius, Menenius, Virgilia, Volumnia;yes;5
Coriolanus;Cor IV.v;16;Aufidius, Coriolanus/Martius, First Servingman, Second Servingman, Third Servingman;no;5
Coriolanus;Cor V.ii;17;Aufidius, Coriolanus/Martius, Menenius, First Watch, Second Watch;no;5
Coriolanus;Cor I.iv;18;Lartius, Coriolanus/Martius, Messenger, First Senator, First Soldier, Second Soldier;yes;6
Coriolanus;Cor III.ii;19;Cominius, Coriolanus/Martius, Menenius, Noble, First Senator, Volumnia;yes;6
Coriolanus;Cor IV.ii;20;Aedile, Brutus, Menenius, Sicinius, Virgilia, Volumnia;no;6
Coriolanus;Cor V.iii;21;Aufidius, Boy, Coriolanus/Martius, Valeria, Virgilia, Volumnia;yes;6
Coriolanus;Cor I.i;22;Brutus, First Citizen, Second Citizen, Cominius, Coriolanus/Martius, Menenius, Messenger, Sicinius;yes;8
Coriolanus;Cor II.ii;23;Brutus, Cominius, Coriolanus/Martius, Menenius, First Officer, Second Officer, First Senator, Sicinius;yes;8
Coriolanus;Cor III.iii;24;Aedile, Brutus, Cominius, Coriolanus/Martius, Menenius, Plebeians, First Senator, Sicinius;yes;8
Coriolanus;Cor V.vi;25;Aufidius, First Conspirator, Second Conspirator, Third Conspirator, Coriolanus/Martius, First Lord, Second Lord, Third Lord;yes;8
Coriolanus;Cor II.i;26;Brutus, Cominius, Coriolanus/Martius, Menenius, Messenger, Sicinius, Valeria, Virgilia, Volumnia;no;9
Coriolanus;Cor III.i;27;Aedile, Brutus, Cominius, Coriolanus/Martius, Lartius, Menenius, Patrician, First Senator, Second Senator, Sicinius;yes;10
Coriolanus;Cor IV.vi;28;Aedile, Brutus, First Citizen, Second Citizen, Third Citizen, Cominius, Menenius, Messenger, Second Messenger, Sicinius,;yes;10
Coriolanus;Cor II.iii;29;Brutus, First Citizen, Second Citizen, Third Citizen, Fourth Citizen, Fifth Citizen, Sixth Citizen, Seventh Citizen, Coriolanus/Martius, Menenius, Sicinius;yes;11
Cymbeline;Cym III.vi;1;Innogen;no;1
Cymbeline;Cym IV.i;2;Cloten;no;1
Cymbeline;Cym V.i;3;Posthumus;no;1
Cymbeline;Cym I.i;4;First Gentleman, Second Gentleman;no;2
